,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
1114,0.1466275659824047,0.21591574019894674,0.2919503852346087,0.29195807421970976,0.1637201328618879,0.2498036135113904,0.21729490022172948,0.1616890324783899,0.20408163265306123,0.44907407407407407,0.8995901639344263,0.0,1.0,0.0,0.3015474276527331,0.6324525745257452,0.9165212034089741,0.08268526989935956,0.3321761770449122,0.5196575419623747,0.0,0.8160192924539347,0.645090332119289,0.7851543080041302,0.4647505987712173,0.46150137741046826,1.0
1009,0.021700879765395895,0.12463428905792862,0.14652412906904586,0.14652821522431328,0.17687238829958213,0.24194815396700706,0.1662971175166297,0.1747034616748159,0.19387755102040816,0.41203703703703703,0.26434426229508196,0.0,1.0,0.0,0.05486334405144695,0.5198735320686539,0.36112537221480645,0.15004574565416284,0.5450206118463875,0.3807592655176298,0.0,0.8238861183301726,0.7047347733583356,0.700791617270259,0.18311985837759034,0.46157024793388424,1.0
993,0.02404692082111437,0.12229373902867174,0.13136882526068236,0.1313725915235748,0.16618450658952105,0.20031421838177532,0.14079822616407983,0.16366991078773413,0.1989795918367347,0.4166666666666667,0.26434426229508196,0.0,1.0,0.0,0.06079180064308682,0.4925474254742547,0.35527261525824005,0.14329826166514179,0.6412453894554133,0.4367466486425594,0.0,0.8175411486502306,0.6975947495582562,0.6907338712761483,0.1801520358221389,0.4599862258953168,1.0
254,0.7049853372434017,0.7091866588648332,0.022767002343616973,0.02276675692312949,0.0036162005785920926,0.01021209740769835,0.015521064301552107,0.00419657275637647,0.5561224489795918,0.44907407407407407,0.9528688524590164,0.0,1.0,0.07692307692307693,0.5654139871382636,0.33988256549232154,1.0,0.00777676120768527,0.9276415708396616,0.9248620029289174,0.5,0.4297956030062513,0.3047491976488406,0.438295919538032,0.5070811204831823,0.559366391184573,0.23950056753688992
820,0.025219941348973606,0.12346401404330018,0.10041266128533809,0.10042505499638057,0.37429015321975784,0.6229379418695994,0.4878048780487805,0.4160479984604229,0.14795918367346939,0.47685185185185186,0.35450819672131145,0.0,1.0,0.0,0.061696141479099686,0.5927055103884372,0.9940445630968272,0.13883806038426347,0.14992406161857236,0.3103525965979497,0.0,0.9000725808339771,0.6975947495582562,0.8539523499942637,0.5040612308653546,0.5314738292011019,1.0
312,0.0,0.004681100058513751,0.051487370392130964,0.0514907466106685,0.008223507982427944,0.00864100549882168,0.06430155210643015,0.0068364676608407594,0.1836734693877551,0.37037037037037035,0.2581967213114754,0.0,1.0,0.11538461538461539,0.0,0.6364046973803071,0.18205154533319642,0.008462946020128087,0.9165762638316338,1.0,1.0,0.5125143405680036,0.2806245717788756,0.6771960686833148,0.9218473393731126,0.3745179063360881,0.9288308740068104
490,0.1219941348973607,0.13107080163838503,0.010242193631289571,0.010247832841624848,0.025447337404907316,0.060487038491751764,0.09866962305986696,0.02130139697735479,0.39285714285714285,0.3055555555555556,0.3422131147540984,0.0,1.0,0.6923076923076923,0.29983922829581994,0.5114046973803071,0.20926173118389976,0.014638609332113448,0.18984595356910391,0.9624873267995945,1.0,0.6269111001849641,0.3606072626302694,0.7417109640904049,0.9080495678433823,0.37685950413223135,0.9998864926220205
221,0.6797653958944282,0.6816851960210649,0.023724578951961693,0.023723849874768856,0.0017143469409621772,0.007855459544383346,0.007760532150776054,0.0017646943217118913,0.44387755102040816,0.4537037037037037,0.9487704918032787,1.0,0.0,0.4230769230769231,0.6195739549839229,0.19760614272809393,0.7946401067871445,0.0050320219579139975,0.8191581688001736,1.0,0.0,0.35552902062700475,0.25206447657855835,0.34536693563807414,0.4029469957305009,0.4878099173553719,0.07514188422247448
235,0.8956011730205279,0.9133996489174956,0.429047666975759,0.4290510629275924,0.03434051216114861,0.051846032992930086,0.06651884700665188,0.029702454773008088,0.21428571428571427,0.37037037037037035,0.8627049180327869,1.0,0.0,0.15384615384615385,0.10118569131832797,0.4932249322493225,0.6234726357942294,0.02470265324794144,0.5213712302017791,0.981525290075476,1.0,0.6573482241108848,0.46114456745158855,0.6799877624383341,0.6980110382172239,0.3924931129476584,1.0
451,0.7489736070381232,0.7524868344060854,0.0313793092055402,0.031379304148216686,0.004259080681452909,0.01178318931657502,0.017738359201773836,0.002948729172510483,0.20918367346938777,0.26851851851851855,0.2807377049180328,1.0,0.0,0.6153846153846154,0.10902331189710611,0.30657181571815717,0.7583940856350755,0.009149130832570905,0.7447385550010849,1.0,1.0,0.44620823675399784,0.29313764379214596,0.47057248843168,0.6295949182547121,0.29820936639118456,0.28240635641316686
614,0.6826979472140763,0.6840257460503218,0.000912288545238625,0.0009112408097278744,0.0008036001285760206,0.0054988216810683424,0.0033259423503325942,0.001558464496438069,0.9744897959183674,0.7870370370370371,0.2581967213114754,0.0,1.0,0.6153846153846154,0.26738344051446944,0.1254516711833785,0.42951021665468736,0.005832570905763952,1.0,1.0,0.0,0.2819180070707781,0.23554866395009197,0.23025737121878465,0.21779652192023327,0.9725206611570247,0.029398410896708294
305,0.8005865102639296,0.8039789350497367,0.32102064789167545,0.3210222078281774,0.009402121504339441,0.00864100549882168,0.041019955654102,0.006926820826864191,0.22959183673469388,0.3287037037037037,0.32786885245901637,0.0,1.0,0.038461538461538464,0.013062700964630225,0.3004742547425474,0.3340178663107095,0.009034766697163769,1.0,0.9703728737185986,1.0,0.5260471541289129,0.29313764379214596,0.5997170063864775,0.8447880870561284,0.3212809917355372,0.735527809307605
439,0.7173020527859237,0.7203042715038034,0.03620023158155828,0.036200548082175744,0.005116254151933997,0.01335428122545169,0.022172949002217297,0.004792801558158214,0.336734693877551,0.4074074074074074,0.2725409836065574,0.0,1.0,0.0,0.18468649517684887,0.26434056007226736,0.5599137488448506,0.008348581884720952,0.6003471468865264,1.0,1.0,0.46465781648755594,0.2806245717788756,0.5056407510803472,0.7302405498281787,0.43422865013774103,0.33825198637911463
940,0.02404692082111437,0.10415447630193095,0.03157545003401037,0.03157826537559714,0.11804885888781742,0.14846818538884524,0.11197339246119734,0.11655507370036287,0.23979591836734693,0.4074074074074074,0.2766393442622951,0.0,1.0,0.0,0.060490353697749195,0.4502032520325203,0.35188417702022795,0.11665141811527903,0.7159904534606205,0.44778641432916527,0.0,0.7827725878579289,0.6664743427932639,0.6562392443305671,0.1784338227637197,0.4613636363636363,1.0
1063,0.021700879765395895,0.12170860152135751,0.22115821239795377,0.2211622059409065,0.16816672024000856,0.25294579732914374,0.20288248337028825,0.16698005262433835,0.20408163265306123,0.4027777777777778,0.26844262295081966,0.0,1.0,0.0,0.054762861736334406,0.5243902439024389,0.3663620494917343,0.14569990850869163,0.5010848340203949,0.283654387743607,0.0,0.8187586336072675,0.7002993040279831,0.6983441049370913,0.18577527855878373,0.46453168044077137,1.0
249,0.4586510263929619,0.4681100058513751,0.06381225084010565,0.06381361047904367,0.015375549126754528,0.02513747054202671,0.036585365853658534,0.015592812482213315,0.42857142857142855,0.4444444444444444,0.2766393442622951,0.0,1.0,0.0,0.8233520900321544,0.2595980126467931,0.6376424684259164,0.016697163769441904,0.617162074202647,1.0,1.0,0.5758235583339187,0.37553640330316257,0.5856820528509695,0.6908257836092888,0.4767906336088154,0.9447219069239501
652,0.03577712609970674,0.052077238150965474,0.18565277384148582,0.1856516157480914,0.0017679202828672453,0.02356637863315004,0.011086474501108648,0.0021843005503630847,0.4846938775510204,0.5972222222222222,0.9528688524590164,1.0,0.0,0.11538461538461539,0.07244774919614148,0.32938121047877145,0.06951432385255159,0.01989935956084172,1.0,0.1806916751154669,0.0,0.35857273301959686,0.43420720493310744,0.18245439596160465,0.03519733416640633,0.6007575757575757,0.09398410896708287
1073,0.02287390029325513,0.12287887653598596,0.2320246882799247,0.23202851890409673,0.16554162648666024,0.23016496465043204,0.15188470066518847,0.16213160985094535,0.21428571428571427,0.4027777777777778,0.26434426229508196,0.0,1.0,0.0,0.057777331189710616,0.5154697380307136,0.3545538556319951,0.14592863677950593,0.558689520503363,0.4040779542638278,0.0,0.8171431247219686,0.7002993040279831,0.693296110749933,0.1797875663855045,0.4568870523415978,1.0
71,0.32609970674486805,0.32767700409596257,0.09183758411230279,0.0918374081436144,0.002839387120968606,0.007855459544383346,0.015521064301552107,0.0028690958736423736,0.44387755102040816,0.41203703703703703,0.8176229508196722,0.0,1.0,0.3076923076923077,0.6871985530546624,0.11291779584462511,0.5207926891878016,0.0038883806038426346,0.6384248210023866,1.0,1.0,0.40560979607126973,0.21712163282968522,0.4497686335997552,0.7500781005935645,0.4762396694214876,0.12463110102156641
94,0.016422287390029325,0.018724400234055003,0.2584151385907402,0.2584154998612751,0.0032679738562091504,0.010997643362136685,0.02328159645232816,0.003667215506849357,0.49489795918367346,0.48148148148148145,0.8831967213114754,1.0,0.0,0.23076923076923078,0.033963022508038586,0.3336720867208672,0.34654481979669366,0.0037740164684354977,0.45758298980256024,1.0,1.0,0.4196576994216947,0.21712163282968522,0.5133657118819075,0.8384359054462148,0.5380853994490358,0.20681044267877416
436,0.23929618768328445,0.24107665301345815,0.07565113073898273,0.07565095737902387,0.0021161470052501875,0.007069913589945012,0.015521064301552107,0.0023512241960673913,0.5459183673469388,0.4074074074074074,0.2725409836065574,0.0,1.0,0.34615384615384615,0.6028938906752411,0.3669828364950316,0.5207926891878016,0.0050320219579139975,0.7041657626383163,1.0,1.0,0.37636674393013514,0.21712163282968522,0.4497686335997552,0.7500781005935645,0.5323002754820936,0.12463110102156641
33,0.3653958944281525,0.371562317144529,0.1608709361921007,0.1608803385612565,0.026840244294439087,0.07619795758051846,0.14745011086474502,0.0319268272077375,0.5561224489795918,0.49074074074074076,0.2766393442622951,0.0,1.0,0.23076923076923078,0.9192122186495176,0.6003839205058716,0.09580039018379712,0.011665141811527904,0.09047515730093295,1.0,1.0,0.6323195429748777,0.3256644188813963,0.8134536693563807,0.9655836717692389,0.5754820936639118,1.0
1023,0.02404692082111437,0.12521942656524282,0.16082218302808077,0.16082594454405041,0.18595306975249115,0.199528672427337,0.12416851441241686,0.18463516335928987,0.20918367346938777,0.4027777777777778,0.26844262295081966,0.0,1.0,0.0,0.06069131832797428,0.43699186991869915,0.34449122086456513,0.14730100640439156,0.6652202213061401,0.5115466937028275,0.0,0.8289667767085763,0.7021023403411346,0.6907338712761483,0.17468499427262316,0.46453168044077137,1.0
259,0.21407624633431085,0.2293739028671738,0.3110157733811109,0.3110169320114271,0.017036322725811636,0.032992930086410056,0.038802660753880266,0.014345734603144138,0.27040816326530615,0.41203703703703703,0.2807377049180328,1.0,0.0,0.15384615384615385,0.5377813504823151,0.4028906955736224,0.9679638566587946,0.024245196706312897,0.6795400303753526,0.8748451053283768,1.0,0.5862190068132331,0.42926688543507274,0.5755860644766531,0.5233781110069771,0.37988980716253445,0.9886492622020431
204,0.9413489736070382,0.9432416617905208,0.08938525967023038,0.08938443942694331,0.0014732669023893711,0.007069913589945012,0.0066518847006651885,0.0013307949368536016,0.41836734693877553,0.3287037037037037,0.9426229508196722,1.0,0.0,0.23076923076923078,0.08460610932475884,0.2932475158084914,0.6266557141390287,0.005718206770356815,1.0,1.0,0.0,0.34063824307555435,0.26699361725145154,0.32318635511874255,0.3177652816828075,0.4195592286501377,0.0717366628830874
945,0.02404692082111437,0.11117612638970158,0.03586500321408256,0.035869590706375215,0.16522018643522984,0.17753338570306362,0.15077605321507762,0.16456680633972945,0.2602040816326531,0.44907407407407407,0.26844262295081966,0.0,1.0,0.0,0.06069131832797428,0.5137759710930443,0.46986343567101346,0.12717291857273558,0.6431980906921241,0.48191956742142616,0.0,0.8169558193439629,0.6792759006166385,0.714826570805767,0.23825887743413518,0.46625344352617076,1.0
866,0.02287390029325513,0.1117612638970158,0.1496289400715632,0.14964301810885622,0.3491642558662809,0.4878240377062058,0.4279379157427938,0.3842773750312344,0.17857142857142858,0.49074074074074076,0.35860655737704916,0.0,1.0,0.0,0.055868167202572344,0.6376467931345979,0.807475100112948,0.12557182067703568,0.1868084183119983,0.4323532725019713,1.0,0.893025215986514,0.6823050016227327,0.8731882672377529,0.6047068624388212,0.5252754820936639,1.0
453,0.6117302052785923,0.6448215330602691,0.33495986244677545,0.3349606948831669,0.02619736419157827,0.061272584446190104,0.04988913525498891,0.023609231234936353,0.12244897959183673,0.4444444444444444,0.26434426229508196,1.0,0.0,0.6153846153846154,0.37047829581993574,0.501806684733514,0.42951021665468736,0.05146386093321134,0.7694727706660881,0.559197927227667,0.0,0.6298611598885533,0.5402978615989326,0.5534437263375273,0.21779652192023327,0.4130165289256198,0.9998864926220205
77,0.0,0.0052662375658279695,0.012251952161300286,0.012253964779914151,0.006723454409086039,0.02670856245090338,0.04988913525498891,0.008948026255507013,0.6479591836734694,0.5277777777777778,0.9426229508196722,0.0,1.0,0.6153846153846154,0.0,0.6059168925022583,0.29099496868261626,0.007090576395242452,0.30689954436971145,0.9019939168638054,1.0,0.49216829388213806,0.29313764379214596,0.6207885578798424,0.8666041861918151,0.6546831955922865,0.8132803632236095
84,0.005278592375366569,0.008191925102399064,0.030036542309567118,0.030036698636112327,0.0028929604628736743,0.007069913589945012,0.019955654101995565,0.003223872429497093,0.5051020408163265,0.4444444444444444,0.9426229508196722,0.0,1.0,0.6153846153846154,0.0107516077170418,0.4027777777777778,0.4595954410103707,0.00434583714547118,0.8027771750922109,1.0,1.0,0.4074828498513264,0.23554866395009197,0.4890053156908486,0.7811100697698636,0.5338154269972452,0.19886492622020432
