X_Maximum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
46733.77351,-60848696.53,-320672.3293,-15750.50812,-12943.76426,-32609924.84,3686.072923,2040.904937,1237.643908,16.73400129,25.36020808,-6.929295253,4.696192938,-1.51586711,16.65353756,22.50462672,30.83904331,-76.31961832,-47.78156352,-31.14733373,27.67876208,18.08285838,-30.09314133
-60848696.53,1.82181E+12,1027980976,83317353.38,160209448.9,48997689854,-5669890.139,-6007837.239,-7505510.376,-114611.1882,-47711.36683,21948.26811,-59251.27802,4294.736092,-19165.62798,-35306.42553,-86404.06896,168069.821,111447.6991,73014.3565,-82046.87983,-50711.211,73811.60519
-320672.3293,1027980976,104771842.6,6692648.9,10371695.26,9008476632,-154934.0074,6294.463585,10070.20623,547.0100733,-492.1134083,585.2306148,200.1953395,223.0561229,-1121.192855,-354.5731798,556.0751993,3456.878751,1427.025894,2840.741336,980.3328791,-300.2109746,575.0403684
-15750.50812,83317353.38,6692648.9,442770.572,706256.5009,557116030.4,-7764.04533,769.5856092,771.6039916,31.92388494,-24.09283898,38.1611117,10.59581308,10.9942463,-67.82368627,-13.28402598,45.34168956,183.05747,68.411727,169.1285737,72.43565577,-15.70264171,28.52110558
-12943.76426,160209448.9,10371695.26,706256.5009,1206390.51,807551258.1,-6894.471693,1492.073179,-1364.195203,10.20712131,-17.57109505,44.18237773,-16.55016707,6.495980628,-65.41729197,13.41058397,63.25045114,176.6404729,44.05483883,207.7916999,105.1195171,-21.06203908,19.50566072
-32609924.84,48997689854,9008476632,557116030.4,807551258.1,8.19346E+11,-16498427.92,777671.2936,2214134.327,49759.90627,-53267.33043,58474.64332,44601.84544,25470.51969,-123180.7703,-50984.93259,60033.13395,361544.7547,157340.8395,278177.3419,96509.49238,-22290.54261,62063.2628
3686.072923,-5669890.139,-154934.0074,-7764.04533,-6894.471693,-16498427.92,1458.213181,439.2359944,-153.8338585,-1.972500539,3.931510572,-1.750044594,1.077743384,-1.455288857,3.738841272,4.623318004,4.758854503,-22.18673088,-12.86066842,-10.74722963,3.816647634,4.4482667,-6.55740735
2040.904937,-6007837.239,6294.463585,769.5856092,1492.073179,777671.2936,439.2359944,333.3806022,2.285014006,-0.791316527,1.768682791,-0.22158645,2.057702924,-0.352957721,-0.142445728,1.57515014,4.206582633,-5.859388305,-4.358409856,-1.529243452,4.136382598,2.716173704,-2.73710077
1237.643908,-7505510.376,10070.20623,771.6039916,-1364.195203,2214134.327,-153.8338585,2.285014006,2521.557073,-1.820728291,1.321956688,0.806365021,3.925975718,-0.192473529,-2.696654552,-0.534205742,4.535626751,2.030050298,-0.001872356,2.644925298,4.369842525,-0.484702398,0.210989671
16.73400129,-114611.1882,547.0100733,31.92388494,10.20712131,49759.90627,-1.972500539,-0.791316527,-1.820728291,0.729907348,-0.008740519,0.01469962,-0.015493886,0.019054016,0.003184093,-0.015379794,-0.021143073,0.041097985,0.041365533,0.019269365,-0.022462858,-0.007702543,0.005482816
25.36020808,-47711.36683,-492.1134083,-24.09283898,-17.57109505,-53267.33043,3.931510572,1.768682791,1.321956688,-0.008740519,0.02932255,-0.009276964,0.007154424,-0.006047739,0.014691691,0.022416504,0.026356697,-0.084015911,-0.053519106,-0.037594692,0.024296569,0.015975425,-0.027550421
-6.929295253,21948.26811,585.2306148,38.1611117,44.18237773,58474.64332,-1.750044594,-0.22158645,0.806365021,0.01469962,-0.009276964,0.015301877,0.004720291,0.004943618,-0.017655368,-0.011598622,0.003021101,0.051673383,0.030409226,0.036164015,0.005163047,-0.003467646,0.015266872
4.696192938,-59251.27802,200.1953395,10.59581308,-16.55016707,44601.84544,1.077743384,2.057702924,3.925975718,-0.015493886,0.007154424,0.004720291,0.064486011,-0.004105918,-0.036325507,-0.000653262,0.070296608,0.00133389,-0.019666154,0.023185588,0.068654331,0.016339148,-0.009700559
-1.51586711,4294.736092,223.0561229,10.9942463,6.495980628,25470.51969,-1.455288857,-0.352957721,-0.192473529,0.019054016,-0.006047739,0.004943618,-0.004105918,0.004742988,-0.002219364,-0.007306291,-0.009753153,0.029153601,0.020885584,0.01387952,-0.009524727,-0.003762418,0.007481504
16.65353756,-19165.62798,-1121.192855,-67.82368627,-65.41729197,-123180.7703,3.738841272,-0.142445728,-2.696654552,0.003184093,0.014691691,-0.017655368,-0.036325507,-0.002219364,0.056908358,0.022847709,-0.038557766,-0.098413291,-0.039255818,-0.073083624,-0.044512853,0.002776335,-0.025670456
